time_sec,SelectionId,LastPriceTraded,imp_prob
2020-03-04 17:55:05,8709395,3.45,28.99
2020-03-04 17:55:06,8709395,3.45,28.99
2020-03-04 17:55:07,8709395,3.45,28.99
2020-03-04 17:55:47,8709395,3.45,28.99
2020-03-04 17:55:48,8709395,3.45,28.99
2020-03-04 17:55:57,8709395,3.45,28.99
2020-03-04 17:55:58,8709395,3.45,28.99
2020-03-04 17:56:24,8709395,3.45,28.99
2020-03-04 17:57:34,8709395,3.45,28.99
2020-03-04 17:57:35,8709395,3.45,28.99
2020-03-04 17:57:36,8709395,3.45,28.99
2020-03-04 17:57:39,8709395,3.45,28.99
2020-03-04 17:58:35,8709395,3.45,28.99
2020-03-04 17:58:36,8709395,3.45,28.99
2020-03-04 17:58:37,8709395,3.45,28.99
2020-03-04 17:59:11,8709395,3.45,28.99
2020-03-04 17:59:21,8709395,3.45,28.99
2020-03-04 17:59:23,8709395,3.45,28.99
2020-03-04 17:59:34,8709395,3.45,28.99
2020-03-04 17:59:43,8709395,3.45,28.99
2020-03-04 17:59:50,8709395,3.45,28.99
2020-03-04 17:59:56,8709395,3.45,28.99
2020-03-04 17:59:56,9532270,19.0,5.26
2020-03-04 17:59:57,8709395,3.45,28.99
2020-03-04 17:59:57,3324323,7.8,12.82
2020-03-04 17:59:57,9532270,19.0,5.26
2020-03-04 17:59:58,8709395,3.45,28.99
2020-03-04 17:59:58,3324323,7.8,12.82
2020-03-04 17:59:58,9532270,19.0,5.26
2020-03-04 17:59:59,8709395,3.45,28.99
2020-03-04 17:59:59,3324323,7.8,12.82
2020-03-04 17:59:59,8435303,13.0,7.6899999999999995
2020-03-04 17:59:59,9532270,19.0,5.26
2020-03-04 18:00:00,8709395,3.45,28.99
2020-03-04 18:00:00,3324323,7.8,12.82
2020-03-04 18:00:00,12819181,12.5,8.0
2020-03-04 18:00:00,8435303,13.0,7.6899999999999995
2020-03-04 18:00:00,9532270,19.0,5.26
2020-03-04 18:00:01,8709395,3.45,28.99
2020-03-04 18:00:01,3324323,7.8,12.82
2020-03-04 18:00:01,12819181,12.5,8.0
2020-03-04 18:00:01,8435303,13.0,7.6899999999999995
2020-03-04 18:00:01,9532270,19.0,5.26
2020-03-04 18:00:02,8709395,3.45,28.99
2020-03-04 18:00:02,3324323,7.8,12.82
2020-03-04 18:00:02,12819181,12.5,8.0
2020-03-04 18:00:02,8435303,13.0,7.6899999999999995
2020-03-04 18:00:02,9532270,17.5,5.71
2020-03-04 18:00:04,8709395,3.45,28.99
2020-03-04 18:00:04,3324323,7.8,12.82
2020-03-04 18:00:04,12819181,12.5,8.0
2020-03-04 18:00:04,8435303,13.0,7.6899999999999995
2020-03-04 18:00:04,9532270,17.5,5.71
2020-03-04 18:00:12,8709395,3.45,28.99
2020-03-04 18:00:12,3324323,7.8,12.82
2020-03-04 18:00:12,12819181,12.5,8.0
2020-03-04 18:00:12,8435303,13.0,7.6899999999999995
2020-03-04 18:00:12,9532270,17.5,5.71
2020-03-04 18:00:24,8709395,3.45,28.99
2020-03-04 18:00:24,3324323,7.8,12.82
2020-03-04 18:00:24,12819181,12.5,8.0
2020-03-04 18:00:24,8435303,13.0,7.6899999999999995
2020-03-04 18:00:24,9532270,17.5,5.71
2020-03-04 18:00:25,8709395,3.45,28.99
2020-03-04 18:00:25,3324323,7.8,12.82
2020-03-04 18:00:25,12819181,12.5,8.0
2020-03-04 18:00:25,8435303,13.0,7.6899999999999995
2020-03-04 18:00:25,9532270,17.5,5.71
2020-03-04 18:00:29,8709395,3.45,28.99
2020-03-04 18:00:29,3324323,7.8,12.82
2020-03-04 18:00:29,12819181,12.5,8.0
2020-03-04 18:00:29,8435303,13.0,7.6899999999999995
2020-03-04 18:00:29,9532270,17.5,5.71
2020-03-04 18:00:30,8709395,3.45,28.99
2020-03-04 18:00:30,3324323,7.8,12.82
2020-03-04 18:00:30,12819181,12.5,8.0
2020-03-04 18:00:30,8435303,13.0,7.6899999999999995
2020-03-04 18:00:30,9532270,17.5,5.71
2020-03-04 18:00:31,8709395,3.45,28.99
2020-03-04 18:00:31,3324323,7.8,12.82
2020-03-04 18:00:31,12819181,12.5,8.0
2020-03-04 18:00:31,8435303,13.0,7.6899999999999995
2020-03-04 18:00:31,9532270,17.5,5.71
2020-03-04 18:00:33,8709395,3.45,28.99
2020-03-04 18:00:33,3324323,7.8,12.82
2020-03-04 18:00:33,12819181,12.5,8.0
2020-03-04 18:00:33,8435303,13.0,7.6899999999999995
2020-03-04 18:00:33,9532270,17.5,5.71
2020-03-04 18:00:45,8709395,3.45,28.99
2020-03-04 18:00:45,3324323,7.8,12.82
2020-03-04 18:00:45,12819181,12.5,8.0
2020-03-04 18:00:45,8435303,13.0,7.6899999999999995
2020-03-04 18:00:45,9532270,17.5,5.71
2020-03-04 18:00:56,8709395,3.45,28.99
2020-03-04 18:00:56,3324323,7.8,12.82
2020-03-04 18:00:56,12819181,12.5,8.0
2020-03-04 18:00:56,8435303,13.0,7.6899999999999995
2020-03-04 18:00:56,9532270,17.5,5.71
2020-03-04 18:00:57,8709395,3.45,28.99
2020-03-04 18:00:57,3324323,7.8,12.82
2020-03-04 18:00:57,12819181,12.5,8.0
2020-03-04 18:00:57,8435303,13.0,7.6899999999999995
2020-03-04 18:00:57,9532270,17.5,5.71
2020-03-04 18:00:58,8709395,3.45,28.99
2020-03-04 18:00:58,3324323,7.8,12.82
2020-03-04 18:00:58,12819181,12.5,8.0
2020-03-04 18:00:58,8435303,13.0,7.6899999999999995
2020-03-04 18:00:58,9532270,17.5,5.71
2020-03-04 18:00:59,8709395,3.45,28.99
2020-03-04 18:00:59,3324323,7.8,12.82
2020-03-04 18:00:59,12819181,12.5,8.0
2020-03-04 18:00:59,8435303,13.0,7.6899999999999995
2020-03-04 18:00:59,9532270,17.5,5.71
2020-03-04 18:01:00,8709395,3.45,28.99
2020-03-04 18:01:00,3324323,7.8,12.82
2020-03-04 18:01:00,12819181,12.5,8.0
2020-03-04 18:01:00,8435303,13.0,7.6899999999999995
2020-03-04 18:01:00,9532270,17.5,5.71
2020-03-04 18:01:01,8709395,3.45,28.99
2020-03-04 18:01:01,3324323,7.8,12.82
2020-03-04 18:01:01,12819181,12.5,8.0
2020-03-04 18:01:01,8435303,13.0,7.6899999999999995
2020-03-04 18:01:01,9532270,17.5,5.71
2020-03-04 18:01:02,8709395,3.45,28.99
2020-03-04 18:01:02,3324323,7.8,12.82
2020-03-04 18:01:02,12819181,12.5,8.0
2020-03-04 18:01:02,8435303,13.0,7.6899999999999995
2020-03-04 18:01:02,9532270,17.5,5.71
2020-03-04 18:01:03,8709395,3.45,28.99
2020-03-04 18:01:03,3324323,7.8,12.82
2020-03-04 18:01:03,12819181,12.5,8.0
2020-03-04 18:01:03,8435303,13.0,7.6899999999999995
2020-03-04 18:01:03,9532270,17.5,5.71
2020-03-04 18:01:04,8709395,3.45,28.99
2020-03-04 18:01:04,3324323,7.8,12.82
2020-03-04 18:01:04,12819181,12.5,8.0
2020-03-04 18:01:04,8435303,13.0,7.6899999999999995
2020-03-04 18:01:04,9532270,17.5,5.71
2020-03-04 18:02:16,8709395,3.45,28.99
2020-03-04 18:02:16,3324323,7.8,12.82
2020-03-04 18:02:16,12819181,12.5,8.0
2020-03-04 18:02:16,8435303,13.0,7.6899999999999995
2020-03-04 18:02:16,9532270,13.5,7.41
2020-03-04 18:02:19,8709395,3.45,28.99
2020-03-04 18:02:19,3324323,7.8,12.82
2020-03-04 18:02:19,12819181,12.5,8.0
2020-03-04 18:02:19,8435303,13.0,7.6899999999999995
2020-03-04 18:02:19,9532270,13.5,7.41
2020-03-04 18:02:29,8709395,3.45,28.99
2020-03-04 18:02:29,3324323,7.8,12.82
2020-03-04 18:02:29,12819181,12.5,8.0
2020-03-04 18:02:29,8435303,13.0,7.6899999999999995
2020-03-04 18:02:29,9532270,13.0,7.6899999999999995
