distance_furlongs,race_type,course,race_length
8,Flat,Navan,107.544
8,Flat,Newbury,101.3063
8,Flat,Newcastle,102.16526
8,Flat,Newmarket,99.53898
8,Flat,Nottingham,107.43736
8,Flat,Pontefract,106.35378
8,Flat,RMG_Extras,112.46
8,Flat,Redcar,98.46261
8,Flat,Ripon,101.55127
8,Flat,Royal_Ascot,99.62316
8,Flat,Salisbury,104.05964
8,Flat,Sandown,104.09953
8,Flat,Southwell,103.76417
8,Flat,TRP_Extras,121.46
8,Flat,Thirsk,101.61916
8,Flat,Thurles,106.92114
8,Flat,Tipperary,99.49194
8,Flat,Tralee,107.48484
8,Flat,TurfTV_Extras,113.85
8,Flat,Warwick,101.97846
8,Flat,Wetherby,101.46033
8,Flat,Wexford,108.75548
8,Flat,Windsor,105.10194
8,Flat,Wolverhampton,112.2128
8,Flat,Yarmouth,100.1709
8,Flat,York,98.94343
8,Hurdle,Clonmel,224.5
8,NHF,Gowran_Park,219.1
9,Flat,Ayr,120.86667
9,Flat,Ballinrobe,125.97886
9,Flat,Carlisle,119.19226
9,Flat,Chelmsford_City,114.215
9,Flat,Cork,112.36342
9,Flat,Curragh,115.88792
9,Flat,Epsom_Downs,106.3933
9,Flat,Fairyhouse,116.80356
9,Flat,Ffos_Las,117.6
9,Flat,Galway,112.1185
9,Flat,Goodwood,117.67321
9,Flat,Gowran_Park,125.05417
9,Flat,Great_Leighs,118.85
9,Flat,Hamilton,120.01196
9,Flat,Kempton,115.50567
9,Flat,Leopardstown,116.39573
9,Flat,Lingfield,117.73509
9,Flat,Listowel,120.39433
9,Flat,Musselburgh,114.66274
9,Flat,Navan,121.08
9,Flat,Newbury,115.58421
9,Flat,Newcastle,118.22833
9,Flat,Newmarket,111.00307
9,Flat,Nottingham,117.33
9,Flat,Redcar,115.03402
9,Flat,Ripon,115.126
9,Flat,Sandown,116.73623
9,Flat,Southwell,110.09
9,Flat,Tipperary,122.09868
9,Flat,Tramore,121.44
9,Flat,Wetherby,114.10667
9,Flat,Wexford,123.18
9,Flat,Wolverhampton,115.44491
9,Flat,Yarmouth,116.06442
9,Flat,York,111.35984
10,Flat,Ascot,128.58128
10,Flat,Ayr,132.19626
10,Flat,Ballinrobe,131.1014
10,Flat,Bath,131.47625
10,Flat,Beverley,127.31726
10,Flat,Brighton,124.65191
10,Flat,Chelmsford_City,126.38519
10,Flat,Chepstow,132.15253
10,Flat,Chester,133.45505
10,Flat,Clonmel,129.21333
10,Flat,Cork,135.36987
10,Flat,Curragh,132.59418
10,Flat,Doncaster,131.96479
10,Flat,Down_Royal,138.59229
10,Flat,Epsom_Downs,130.10651
10,Flat,Fairyhouse,132.48376
10,Flat,Ffos_Las,133.44436
10,Flat,Folkestone,125.97944
10,Flat,Goodwood,128.90607
10,Flat,Gowran_Park,126.44333
10,Flat,Great_Leighs,128.64836
10,Flat,Haydock,134.17882
10,Flat,Kempton,127.77472
10,Flat,Leicester,129.1067
10,Flat,Leopardstown,130.44937
10,Flat,Lingfield,127.11953
10,Flat,Listowel,136.586
10,Flat,Musselburgh,102.49
10,Flat,Naas,135.671
10,Flat,Navan,132.89553
10,Flat,Newbury,129.91537
10,Flat,Newcastle,132.95217
10,Flat,Newmarket,126.4959
10,Flat,Nottingham,133.26356
10,Flat,Pontefract,135.3159
